osm_type,osm_id,name,place_type,amenity,tourism,cuisine,lat,lon,addr_housenumber,addr_street,addr_city,addr_postcode,address,phone,website,opening_hours,wheelchair,brand,source,tags_json
relation,14526702,Les Suites Hotel,hotel,,hotel,,45.4261338,-75.6887306,130,Besserer Street,Ottawa,K1N 9M9,130 Besserer Street,+1 613 232 2000,https://www.les-suites.com/,,yes,,City of Ottawa,"{""@id"": ""relation/14526702"", ""addr:city"": ""Ottawa"", ""addr:housenumber"": ""130"", ""addr:postcode"": ""K1N 9M9"", ""addr:province"": ""ON"", ""addr:street"": ""Besserer Street"", ""air_conditioning"": ""yes"", ""building"": ""hotel"", ""email"": ""Reachout@les-suites.com"", ""fax"": ""+1 613 232 1242"", ""internet_access"": ""yes"", ""internet_access:fee"": ""customers"", ""internet_access:ssid"": ""LesSuites_Guest"", ""name"": ""Les Suites Hotel"", ""phone"": ""+1 613 232 2000"", ""source"": ""City of Ottawa"", ""tourism"": ""hotel"", ""type"": ""multipolygon"", ""website"": ""https://www.les-suites.com/"", ""wheelchair"": ""yes"", ""wikidata"": ""Q111231490"", ""@geometry"": ""center""}"
way,31813259,Embassy Hotel and Suites,hotel,,hotel,,45.4196791,-75.6888185,25,Cartier Street,Ottawa,K2P 1J2,25 Cartier Street,,,,,,,"{""@id"": ""way/31813259"", ""addr:housenumber"": ""25"", ""addr:postcode"": ""K2P 1J2"", ""addr:street"": ""Cartier Street"", ""air_conditioning"": ""yes"", ""building"": ""commercial"", ""building:levels"": ""11"", ""name"": ""Embassy Hotel and Suites"", ""tourism"": ""hotel"", ""@geometry"": ""center""}"
way,31813278,The Business Inn & Suites,hotel,,hotel,,45.41698,-75.689237,180,MacLaren Street,Ottawa,,180 MacLaren Street,+1-613-232-1121,https://www.thebusinessinn.com/,,,,City of Ottawa,"{""@id"": ""way/31813278"", ""addr:housenumber"": ""180"", ""addr:street"": ""MacLaren Street"", ""building"": ""hotel"", ""building:levels"": ""12"", ""name"": ""The Business Inn & Suites"", ""phone"": ""+1-613-232-1121"", ""source"": ""City of Ottawa"", ""tourism"": ""hotel"", ""website"": ""https://www.thebusinessinn.com/"", ""@geometry"": ""center""}"
way,46016942,Ottawa Jail Hostel,hostel,,hostel,,45.4251106,-75.6884505,75,Nicholas Street,Ottawa,K1N 7B9,75 Nicholas Street,,https://saintlo.ca/en/hostels/ottawa-jail/,,,,,"{""@id"": ""way/46016942"", ""addr:housenumber"": ""75"", ""addr:postcode"": ""K1N 7B9"", ""addr:street"": ""Nicholas Street"", ""building"": ""yes"", ""building:levels"": ""4"", ""fixme"": ""operator seems to have changed https://en.wikipedia.org/wiki/Ottawa_Jail_Hostel"", ""name"": ""Ottawa Jail Hostel"", ""tourism"": ""hostel"", ""website"": ""https://saintlo.ca/en/hostels/ottawa-jail/"", ""wikidata"": ""Q7109203"", ""wikipedia"": ""en:Ottawa Jail Hostel"", ""@geometry"": ""center""}"
way,55411730,Sonder Rideau Apartments Downtown,hotel,,hotel,,45.4207413,-75.6946055,161,Laurier Avenue West,Ottawa,K1P 5J2,161 Laurier Avenue West,,,,,,,"{""@id"": ""way/55411730"", ""addr:housename"": ""Residence Inn"", ""addr:housenumber"": ""161"", ""addr:postcode"": ""K1P 5J2"", ""addr:street"": ""Laurier Avenue West"", ""air_conditioning"": ""yes"", ""building"": ""commercial"", ""building:levels"": ""13"", ""name"": ""Sonder Rideau Apartments Downtown"", ""tourism"": ""hotel"", ""@geometry"": ""center""}"
way,56065304,Hampton Inn by Hilton Ottawa,hotel,,hotel,,45.421379,-75.6570395,100,Coventry Road,Ottawa,K1K 4S3,100 Coventry Road,+1 613-741-2300,https://www.hilton.com/en/hotels/yowcnhx-hampton-ottawa/,,,Hampton,City of Ottawa,"{""@id"": ""way/56065304"", ""addr:housenumber"": ""100"", ""addr:postcode"": ""K1K 4S3"", ""addr:street"": ""Coventry Road"", ""alt_name"": ""Hampton Inn"", ""brand"": ""Hampton"", ""brand:wikidata"": ""Q5646230"", ""brand:wikipedia"": ""en:Hampton by Hilton"", ""building"": ""commercial"", ""building:levels"": ""5"", ""internet_access"": ""wlan"", ""name"": ""Hampton Inn by Hilton Ottawa"", ""official_name"": ""Hampton by Hilton"", ""operator"": ""Hilton"", ""phone"": ""+1 613-741-2300"", ""source"": ""City of Ottawa"", ""tourism"": ""hotel"", ""website"": ""https://www.hilton.com/en/hotels/yowcnhx-hampton-ottawa/"", ""wikidata"": ""Q111231496"", ""@geometry"": ""center""}"
way,56104394,Perkins,restaurant,restaurant,,american,45.424555,-75.6383445,1130,St-Laurent Boulevard,Ottawa,,1130 St-Laurent Boulevard,,,24/7,yes,Perkins,City of Ottawa,"{""@id"": ""way/56104394"", ""addr:housenumber"": ""1130"", ""addr:street"": ""St-Laurent Boulevard"", ""amenity"": ""restaurant"", ""brand"": ""Perkins"", ""brand:wikidata"": ""Q7169056"", ""brand:wikipedia"": ""en:Perkins Restaurant and Bakery"", ""building"": ""retail"", ""cuisine"": ""american"", ""delivery"": ""no"", ""internet_access"": ""no"", ""name"": ""Perkins"", ""official_name"": ""Perkins Restaurant and Bakery"", ""opening_hours"": ""24/7"", ""outdoor_seating"": ""no"", ""source"": ""City of Ottawa"", ""takeaway"": ""yes"", ""wheelchair"": ""yes"", ""@geometry"": ""center""}"
way,66923906,Capital Hill Hotel & Suites,hotel,,hotel,,45.4217227,-75.6956195,88,Albert Street,Ottawa,K1P 5E9,88 Albert Street,,https://www.capitalhill.com/,,,,City of Ottawa,"{""@id"": ""way/66923906"", ""addr:housenumber"": ""88"", ""addr:postcode"": ""K1P 5E9"", ""addr:street"": ""Albert Street"", ""building"": ""hotel"", ""building:levels"": ""12"", ""name"": ""Capital Hill Hotel & Suites"", ""source"": ""City of Ottawa"", ""tourism"": ""hotel"", ""website"": ""https://www.capitalhill.com/"", ""@geometry"": ""center""}"
way,68587061,St-Hubert,restaurant,restaurant,,chicken;barbecue,45.405019,-75.627083,1754,St-Laurent Boulevard,Ottawa,K1G 1A2,1754 St-Laurent Boulevard,,,11:00-22:00; Fr-Sa 11:00-23:00,yes,St-Hubert,City of Ottawa,"{""@id"": ""way/68587061"", ""addr:housenumber"": ""1754"", ""addr:postcode"": ""K1G 1A2"", ""addr:street"": ""St-Laurent Boulevard"", ""amenity"": ""restaurant"", ""brand"": ""St-Hubert"", ""brand:wikidata"": ""Q3495225"", ""brand:wikipedia"": ""fr:St-Hubert (restaurant)"", ""building"": ""commercial"", ""cuisine"": ""chicken;barbecue"", ""drive_through"": ""yes"", ""name"": ""St-Hubert"", ""opening_hours"": ""11:00-22:00; Fr-Sa 11:00-23:00"", ""source"": ""City of Ottawa"", ""toilets"": ""yes"", ""toilets:wheelchair"": ""yes"", ""wheelchair"": ""yes"", ""@geometry"": ""center""}"
way,68587644,Senpai,restaurant,restaurant,,sushi,45.367954,-75.7742748,2280,Carling Avenue,Ottawa,,2280 Carling Avenue,,,,,,CanVec 6.0 - NRCan,"{""@id"": ""way/68587644"", ""addr:housenumber"": ""2280"", ""addr:street"": ""Carling Avenue"", ""amenity"": ""restaurant"", ""building"": ""commercial"", ""building:levels"": ""1"", ""cuisine"": ""sushi"", ""name"": ""Senpai"", ""source"": ""CanVec 6.0 - NRCan"", ""@geometry"": ""center""}"
